Disaster Group,Disaster Type,Region,Year of Occurrence,Total Deaths
Natural,Flood,Africa,2000,2
Natural,Flood,Americas,2000,0
Natural,Epidemic,Africa,2000,7
Natural,Flood,Africa,2000,0
Natural,Flood,Africa,2000,4
Natural,Wildfire,Europe,2000,0
Natural,Volcanic activity,Asia,2000,0
Natural,Storm,Asia,2000,14
Natural,Storm,Asia,2000,15
Natural,Epidemic,Africa,2000,10
Natural,Wildfire,Europe,2000,6
Natural,Earthquake,Asia,2000,1
Natural,Wildfire,Europe,2000,1
Natural,Wildfire,Europe,2000,7
Natural,Flood,Africa,2000,15
Natural,Storm,Asia,2000,10
Natural,Storm,Asia,2000,11
Natural,Flood,Asia,2000,179
Natural,Flood,Asia,2000,7
Natural,Storm,Asia,2000,2
Natural,Storm,Asia,2000,0
Natural,Storm,Asia,2000,0
Natural,Storm,Asia,2000,0
Natural,Flood,Africa,2000,0
Natural,Flood,Europe,2000,0
Natural,Storm,Asia,2000,25
Natural,Flood,Africa,2000,0
Natural,Wildfire,Asia,2000,0
Natural,Wildfire,Europe,2000,0
Natural,Flood,Asia,2000,1
Natural,Storm,Asia,2000,4
Natural,Storm,Asia,2000,47
Natural,Flood,Oceania,2000,0
Natural,Epidemic,Africa,2000,47
Natural,Epidemic,Asia,2000,19
Natural,Epidemic,Africa,2000,14
Natural,Epidemic,Europe,2000,0
Natural,Epidemic,Asia,2000,69
Natural,Epidemic,Asia,2000,34
Natural,Epidemic,Africa,2000,18
Natural,Storm,Asia,2000,46
Natural,Storm,Asia,2000,9
Natural,Storm,Europe,2000,9
Natural,Flood,Europe,2000,16
Natural,Wildfire,Europe,2000,0
Natural,Storm,Asia,2000,5
Natural,Flood,Asia,2000,15
Natural,Flood,Americas,2000,3
Natural,Epidemic,Asia,2000,76
Natural,Epidemic,Asia,2000,12
Natural,Flood,Americas,2000,2
Natural,Flood,Africa,2000,0
Natural,Flood,Asia,2000,5
Natural,Earthquake,Americas,2000,0
Natural,Storm,Asia,2000,8
Natural,Storm,Europe,2000,4
Natural,Storm,Asia,2000,6
Natural,Flood,Asia,2000,18
Natural,Storm,Americas,2000,0
Natural,Flood,Americas,2000,20
Natural,Flood,Asia,2000,884
Natural,Storm,Americas,2000,8
Natural,Flood,Europe,2000,0
Natural,Flood,Asia,2000,2
Natural,Storm,Americas,2000,1
Natural,Flood,Asia,2000,31
Natural,Flood,Asia,2000,2
Natural,Flood,Africa,2000,0
Natural,Storm,Africa,2000,0
Natural,Epidemic,Asia,2000,32
Natural,Epidemic,Asia,2000,15
Natural,Epidemic,Africa,2000,13
Natural,Flood,Americas,2000,1
Natural,Flood,Africa,2000,0
Natural,Storm,Asia,2000,0
Natural,Flood,Europe,2000,0
Natural,Wildfire,Europe,2000,0
Natural,Storm,Europe,2000,6
Natural,Wildfire,Europe,2000,0
Natural,Storm,Americas,2000,14
Natural,Storm,Americas,2000,23
Natural,Storm,Americas,2000,1
Natural,Storm,Americas,2000,1
Natural,Flood,Americas,2000,9
Natural,Epidemic,Africa,2000,181
Natural,Flood,Americas,2000,13
Natural,Storm,Americas,2000,2
Natural,Earthquake,Africa,2000,1
Natural,Earthquake,Asia,2000,0
Natural,Wildfire,Oceania,2000,0
Natural,Epidemic,Africa,2000,224
Natural,Flood,Europe,2000,0
Natural,Epidemic,Asia,2000,10
Natural,Flood,Americas,2000,6
Natural,Flood,Europe,2000,25
Natural,Epidemic,Europe,2000,0
Natural,Epidemic,Asia,2000,2
Natural,Epidemic,Asia,2000,10
Natural,Extreme temperature,Asia,2000,11
Natural,Flood,Asia,2000,10
Natural,Storm,Europe,2000,1
Natural,Storm,Asia,2000,0
Natural,Storm,Oceania,2000,0
Natural,Flood,Europe,2000,0
Natural,Flood,Africa,2000,0
Natural,Flood,Africa,2000,28
Natural,Epidemic,Africa,2000,190
Natural,Epidemic,Asia,2000,2
Natural,Epidemic,Asia,2000,51
Natural,Flood,Europe,2000,8
Natural,Extreme temperature,Europe,2000,232
Natural,Storm,Asia,2000,154
Natural,Storm,Asia,2000,89
Natural,Flood,Europe,2000,0
Natural,Epidemic,Asia,2000,14
Natural,Epidemic,Europe,2000,0
Natural,Storm,Asia,2000,15
Natural,Storm,Europe,2000,12
Natural,Storm,Asia,2000,94
Natural,Flood,Americas,2000,4
Natural,Epidemic,Asia,2000,2
Natural,Flood,Americas,2000,0
Natural,Storm,Africa,2000,0
Natural,Flood,Americas,2000,2
Natural,Flood,Asia,2000,6
Natural,Flood,Asia,2000,3
Natural,Flood,Europe,2000,1
Natural,Earthquake,Asia,2000,0
Natural,Flood,Asia,2000,36
Natural,Earthquake,Oceania,2000,2
Natural,Flood,Oceania,2000,0
Natural,Flood,Europe,2000,5
Natural,Storm,Africa,2000,9
Natural,Flood,Africa,2000,3
Natural,Flood,Asia,2000,51
Natural,Storm,Americas,2000,0
Natural,Epidemic,Africa,2000,14
Natural,Epidemic,Africa,2000,14
Natural,Earthquake,Asia,2000,0
Natural,Earthquake,Asia,2000,1
Natural,Earthquake,Asia,2000,31
Natural,Flood,Asia,2000,100
Natural,Flood,Asia,2000,12
Natural,Flood,Europe,2000,1
Natural,Flood,Americas,2000,2
Natural,Flood,Asia,2000,9
Natural,Flood,Africa,2000,0
Natural,Epidemic,Asia,2000,1
Natural,Storm,Europe,2000,4
Natural,Storm,Asia,2000,0
Natural,Storm,Africa,2000,5
Natural,Storm,Asia,2000,48
Natural,Flood,Africa,2000,36
Natural,Flood,Asia,2000,38
Natural,Flood,Europe,2000,0
Natural,Epidemic,Asia,2000,13
Natural,Flood,Americas,2000,12
Natural,Volcanic activity,Americas,2000,0
Natural,Flood,Oceania,2000,4
Natural,Storm,Europe,2000,0
Natural,Flood,Americas,2000,13
Natural,Earthquake,Asia,2000,11
Natural,Flood,Europe,2000,0
Natural,Storm,Europe,2000,4
Natural,Storm,Europe,2000,7
Natural,Storm,Asia,2000,19
Natural,Epidemic,Africa,2000,11
Natural,Epidemic,Africa,2000,308
Natural,Extreme temperature,Americas,2000,66
Natural,Extreme temperature,Europe,2000,84
Natural,Storm,Asia,2000,5
Natural,Epidemic,Oceania,2000,6
Natural,Flood,Africa,2000,0
Natural,Storm,Europe,2000,7
Natural,Storm,Americas,2000,57
Natural,Storm,Americas,2000,1
Natural,Storm,Americas,2000,0
Natural,Flood,Africa,2000,6
Natural,Storm,Europe,2000,4
Natural,Storm,Oceania,2000,0
Natural,Storm,Africa,2000,4
Natural,Flood,Africa,2000,9
Natural,Epidemic,Africa,2000,32
Natural,Wildfire,Americas,2000,8
Natural,Storm,Europe,2000,0
Natural,Epidemic,Asia,2000,0
Natural,Epidemic,Asia,2000,250
Natural,Flood,Africa,2000,7
Natural,Flood,Asia,2000,0
Natural,Epidemic,Africa,2000,8
Natural,Epidemic,Europe,2000,0
Natural,Flood,Americas,2000,0
Natural,Flood,Europe,2000,0
Natural,Flood,Europe,2000,0
Natural,Flood,Americas,2000,2
Natural,Flood,Europe,2000,1
Natural,Epidemic,Asia,2000,19
Natural,Storm,Americas,2000,1
Natural,Epidemic,Africa,2000,607
Natural,Epidemic,Asia,2000,6
Natural,Epidemic,Africa,2000,300
Natural,Epidemic,Africa,2000,311
Natural,Epidemic,Africa,2000,21
Natural,Epidemic,Americas,2000,24
Natural,Flood,Americas,2000,30
Natural,Storm,Africa,2000,1
Natural,Storm,Americas,2000,4
Natural,Storm,Americas,2000,12
Natural,Drought,Americas,2000,0
Natural,Drought,Asia,2000,0
Natural,Drought,Asia,2000,37
Natural,Drought,Asia,2000,0
Natural,Drought,Asia,2000,20
Natural,Drought,Asia,2000,0
Natural,Drought,Africa,2000,0
Natural,Drought,Europe,2000,2
Natural,Drought,Asia,2000,0
Natural,Drought,Europe,2000,0
Natural,Drought,Americas,2000,0
Natural,Drought,Asia,2000,0
Natural,Drought,Asia,2000,0
Natural,Drought,Asia,2000,0
Natural,Drought,Asia,2000,0
Natural,Drought,Americas,2000,0
Natural,Drought,Asia,2000,0
Natural,Drought,Europe,2000,0
Natural,Drought,Asia,2000,0
Natural,Drought,Asia,2000,0
Natural,Drought,Americas,2000,0
Natural,Drought,Europe,2000,0
Natural,Drought,Americas,2000,0
Natural,Drought,Americas,2000,0
Natural,Drought,Americas,2000,0
Natural,Earthquake,Africa,2001,0
Natural,Storm,Asia,2001,49
Natural,Storm,Asia,2001,11
Natural,Extreme temperature,Asia,2001,125
Natural,Storm,Americas,2001,4
Natural,Earthquake,Americas,2001,844
Natural,Flood,Europe,2001,0
Natural,Extreme temperature,Asia,2001,3
Natural,Extreme temperature,Europe,2001,145
Natural,Flood,Africa,2001,79
Natural,Flood,Africa,2001,9
Natural,Earthquake,Americas,2001,6
Natural,Epidemic,Asia,2001,13
Natural,Flood,Africa,2001,59
Natural,Extreme temperature,Asia,2001,0
Natural,Extreme temperature,Asia,2001,150
Natural,Flood,Oceania,2001,1
Natural,Flood,Americas,2001,41
Natural,Storm,Oceania,2001,1
Natural,Flood,Europe,2001,11
Natural,Flood,Africa,2001,4
Natural,Earthquake,Asia,2001,20005
Natural,Earthquake,Asia,2001,12
Natural,Storm,Africa,2001,14
Natural,Flood,Europe,2001,6
Natural,Earthquake,Americas,2001,315
Natural,Storm,Oceania,2001,1
Natural,Flood,Asia,2001,0
Natural,Epidemic,Africa,2001,28
Natural,Flood,Asia,2001,130
Natural,Storm,Americas,2001,11
Natural,Flood,Americas,2001,0
Natural,Storm,Asia,2001,55
Natural,Flood,Asia,2001,2
Natural,Epidemic,Asia,2001,28
Natural,Epidemic,Africa,2001,9
Natural,Epidemic,Africa,2001,1525
Natural,Earthquake,Asia,2001,3
Natural,Flood,Europe,2001,0
Natural,Flood,Europe,2001,0
Natural,Flood,Africa,2001,13
Natural,Storm,Asia,2001,5
Natural,Earthquake,Asia,2001,0
Natural,Flood,Oceania,2001,0
Natural,Flood,Africa,2001,5
Natural,Epidemic,Africa,2001,16
Natural,Storm,Oceania,2001,1
Natural,Flood,Europe,2001,0
Natural,Flood,Europe,2001,9
Natural,Storm,Africa,2001,3
Natural,Earthquake,Americas,2001,1
Natural,Storm,Americas,2001,7
Natural,Flood,Oceania,2001,0
Natural,Storm,Asia,2001,27
Natural,Storm,Americas,2001,11
Natural,Storm,Asia,2001,0
Natural,Epidemic,Africa,2001,20
Natural,Flood,Africa,2001,5
Natural,Flood,Americas,2001,0
Natural,Epidemic,Africa,2001,343
Natural,Flood,Americas,2001,0
Natural,Earthquake,Asia,2001,2
Natural,Epidemic,Asia,2001,35
Natural,Epidemic,Africa,2001,321
Natural,Epidemic,Africa,2001,8
Natural,Flood,Oceania,2001,3
Natural,Flood,Europe,2001,0
Natural,Epidemic,Africa,2001,340
Natural,Storm,Oceania,2001,1
Natural,Storm,Americas,2001,4
Natural,Flood,Africa,2001,48
Natural,Storm,Americas,2001,16
Natural,Earthquake,Asia,2001,2
Natural,Storm,Asia,2001,16
Natural,Flood,Americas,2001,0
Natural,Epidemic,Africa,2001,187
Natural,Flood,Asia,2001,83
Natural,Flood,Asia,2001,32
Natural,Epidemic,Africa,2001,134
Natural,Flood,Americas,2001,11
Natural,Flood,Asia,2001,2
Natural,Flood,Asia,2001,4
Natural,Flood,Europe,2001,3
Natural,Storm,Americas,2001,0
Natural,Storm,Asia,2001,12
Natural,Epidemic,Africa,2001,84
Natural,Storm,Asia,2001,193
Natural,Epidemic,Americas,2001,1
Natural,Flood,Americas,2001,26
Natural,Flood,Africa,2001,50
Natural,Flood,Americas,2001,23
Natural,Earthquake,Asia,2001,2
Natural,Storm,Oceania,2001,1
Natural,Flood,Europe,2001,10
Natural,Flood,Europe,2001,0
Natural,Epidemic,Africa,2001,66
Natural,Earthquake,Asia,2001,4
Natural,Flood,Americas,2001,0
Natural,Flood,Asia,2001,29
Natural,Storm,Americas,2001,41
Natural,Flood,Asia,2001,5
Natural,Storm,Asia,2001,13
Natural,Flood,Americas,2001,47
Natural,Volcanic activity,Oceania,2001,0
Natural,Storm,Europe,2001,0
Natural,Flood,Americas,2001,0
Natural,Storm,Europe,2001,8
Natural,Storm,Americas,2001,2
Natural,Storm,Asia,2001,4
Natural,Flood,Americas,2001,1
Natural,Storm,Americas,2001,1
Natural,Flood,Americas,2001,9
Natural,Epidemic,Africa,2001,0
Natural,Storm,Asia,2001,21
Natural,Flood,Oceania,2001,0
Natural,Flood,Africa,2001,0
Natural,Flood,Africa,2001,1
Natural,Flood,Americas,2001,0
Natural,Epidemic,Asia,2001,13
Natural,Storm,Americas,2001,2
Natural,Flood,Europe,2001,7
Natural,Storm,Asia,2001,125
Natural,Storm,Asia,2001,9
Natural,Earthquake,Americas,2001,145
Natural,Volcanic activity,Asia,2001,0
Natural,Flood,Africa,2001,30
Natural,Storm,Oceania,2001,0
Natural,Wildfire,Americas,2001,1
Natural,Flood,Asia,2001,11
Natural,Flood,Americas,2001,2
Natural,Flood,Asia,2001,3
Natural,Flood,Africa,2001,12
Natural,Storm,Asia,2001,30
Natural,Storm,Asia,2001,232
Natural,Flood,Asia,2001,1
Natural,Storm,Asia,2001,33
Natural,Flood,Europe,2001,0
Natural,Storm,Europe,2001,12
Natural,Epidemic,Europe,2001,2
Natural,Epidemic,Asia,2001,16
Natural,Epidemic,Asia,2001,114
Natural,Flood,Asia,2001,100
Natural,Flood,Asia,2001,62
Natural,Storm,Asia,2001,21
Natural,Wildfire,Americas,2001,0
Natural,Storm,Americas,2001,5
Natural,Storm,Africa,2001,0
Natural,Earthquake,Oceania,2001,0
Natural,Flood,Asia,2001,28
Natural,Flood,Asia,2001,1
Natural,Storm,Americas,2001,0
Natural,Infestation,Europe,2001,0
Natural,Infestation,Asia,2001,0
Natural,Flood,Asia,2001,22
Natural,Storm,Asia,2001,0
Natural,Earthquake,Asia,2001,0
Natural,Storm,Asia,2001,1
Natural,Flood,Asia,2001,35
Natural,Flood,Asia,2001,9
Natural,Epidemic,Africa,2001,237
Natural,Flood,Americas,2001,0
Natural,Epidemic,Africa,2001,113
Natural,Epidemic,Africa,2001,14
Natural,Epidemic,Africa,2001,12
Natural,Epidemic,Africa,2001,48
Natural,Flood,Asia,2001,32
Natural,Flood,Asia,2001,210
Natural,Extreme temperature,Americas,2001,14
Natural,Volcanic activity,Europe,2001,0
Natural,Storm,Europe,2001,6
Natural,Storm,Europe,2001,0
Natural,Flood,Asia,2001,86
Natural,Flood,Europe,2001,11
Natural,Earthquake,Asia,2001,0
Natural,Flood,Europe,2001,27
Natural,Flood,Europe,2001,1
Natural,Epidemic,Africa,2001,3
Natural,Flood,Asia,2001,46
Natural,Flood,Asia,2001,9
Natural,Flood,Americas,2001,0
Natural,Flood,Asia,2001,33
Natural,Flood,Asia,2001,8
Natural,Extreme temperature,Europe,2001,276
Natural,Storm,Asia,2001,100
Natural,Storm,Asia,2001,100
Natural,Flood,Asia,2001,257
Natural,Flood,Africa,2001,0
Natural,Epidemic,Asia,2001,33
Natural,Flood,Asia,2001,10
Natural,Storm,Asia,2001,5
Natural,Flood,Africa,2001,3
Natural,Storm,Asia,2001,0
Natural,Flood,Europe,2001,16
Natural,Epidemic,Africa,2001,21
Natural,Epidemic,Africa,2001,30
Natural,Epidemic,Africa,2001,3
Natural,Epidemic,Africa,2001,175
Natural,Storm,Asia,2001,17
Natural,Storm,Asia,2001,3
Natural,Epidemic,Asia,2001,12
Natural,Wildfire,Americas,2001,0
Natural,Flood,Asia,2001,37
Natural,Flood,Africa,2001,5
Natural,Flood,Asia,2001,104
Natural,Wildfire,Americas,2001,0
Natural,Flood,Asia,2001,412
Natural,Storm,Asia,2001,9
Natural,Volcanic activity,Americas,2001,0
Natural,Flood,Asia,2001,0
Natural,Flood,Americas,2001,2
Natural,Volcanic activity,Asia,2001,0
Natural,Flood,Africa,2001,0
Natural,Flood,Asia,2001,0
Natural,Flood,Americas,2001,4
Natural,Storm,Americas,2001,3
Natural,Storm,Americas,2001,0
Natural,Storm,Asia,2001,0
Natural,Storm,Asia,2001,1
Natural,Storm,Americas,2001,0
Natural,Flood,Asia,2001,0
Natural,Flood,Africa,2001,0
Natural,Extreme temperature,Americas,2001,9
Natural,Flood,Africa,2001,0
Natural,Flood,Asia,2001,56
Natural,Storm,Asia,2001,15
Natural,Storm,Americas,2001,0
Natural,Flood,Africa,2001,1
Natural,Flood,Asia,2001,310
Natural,Flood,Africa,2001,200
Natural,Wildfire,Americas,2001,0
Natural,Wildfire,Africa,2001,20
Natural,Flood,Asia,2001,10
Natural,Wildfire,Europe,2001,0
Natural,Flood,Asia,2001,0
Natural,Wildfire,Africa,2001,11
Natural,Epidemic,Africa,2001,57
Natural,Storm,Asia,2001,7
Natural,Flood,Asia,2001,158
Natural,Epidemic,Africa,2001,12
Natural,Epidemic,Africa,2001,9
Natural,Flood,Africa,2001,100
Natural,Storm,Asia,2001,80
Natural,Flood,Africa,2001,2
Natural,Storm,Asia,2001,12
Natural,Flood,Asia,2001,48
Natural,Flood,Asia,2001,0
Natural,Flood,Asia,2001,0
Natural,Epidemic,Oceania,2001,0
Natural,Epidemic,Africa,2001,6
Natural,Flood,Asia,2001,27
Natural,Flood,Europe,2001,2
Natural,Flood,Africa,2001,10
Natural,Storm,Americas,2001,13
Natural,Flood,Asia,2001,0
Natural,Earthquake,Asia,2001,0
Natural,Flood,Africa,2001,9
Natural,Epidemic,Africa,2001,15
Natural,Epidemic,Africa,2001,7
Natural,Storm,Americas,2001,30
Natural,Epidemic,Africa,2001,12
Natural,Epidemic,Africa,2001,104
Natural,Epidemic,Africa,2001,41
Natural,Wildfire,Europe,2001,0
Natural,Flood,Americas,2001,21
Natural,Storm,Africa,2001,0
Natural,Flood,Americas,2001,0
Natural,Storm,Americas,2001,3
Natural,Storm,Asia,2001,12
Natural,Storm,Americas,2001,0
Natural,Storm,Americas,2001,2
Natural,Storm,Americas,2001,3
Natural,Storm,Americas,2001,8
Natural,Storm,Americas,2001,2
Natural,Flood,Asia,2001,114
Natural,Storm,Americas,2001,0
Natural,Wildfire,Europe,2001,0
Natural,Extreme temperature,Europe,2001,332
Natural,Epidemic,Africa,2001,14
Natural,Flood,Americas,2001,1
